image,status,issues,duplicate_of,face_proportion,symmetry,report
frame000100.jpg,warning,низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,frame000100_portrait.json
frame000150.jpg,warning,низкое исходное разрешение фотографии,,широкое,высокая симметрия,frame000150_portrait.json
frame000300.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,frame000300_portrait.json
frame000400.jpg,warning,низкое исходное разрешение фотографии,,широкое,умеренная симметрия,frame000400_portrait.json
frame000450.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,frame000450_portrait.json
frame000500.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame000500_portrait.json
frame000550.jpg,warning,низкое исходное разрешение фотографии,,широкое,умеренная симметрия,frame000550_portrait.json
frame000600.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame000600_portrait.json
frame000850.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,frame000850_portrait.json
frame000950.jpg,warning,лицо заметно повернуто; рот заметно открыт; требуется нейтральное выражение; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame000950_portrait.json
frame001100.jpg,warning,низкое исходное разрешение фотографии,,широкое,умеренная симметрия,frame001100_portrait.json
frame001300.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame001300_portrait.json
frame001350.jpg,error,"На фотографии не найдено лицо. Попробуйте кадр крупнее, анфас и при более равномерном освещении.",,,,
frame001400.jpg,warning,сильный наклон головы; лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame001400_portrait.json
frame001450.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame001450_portrait.json
frame001500.jpg,warning,сильный наклон головы; лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame001500_portrait.json
frame001600.jpg,warning,низкое исходное разрешение фотографии,,широкое,умеренная симметрия,frame001600_portrait.json
frame001800.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame001800_portrait.json
frame002050.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame002050_portrait.json
frame002250.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame002250_portrait.json
frame002300.jpg,warning,лицо заметно повернуто; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame002300_portrait.json
frame002400.jpg,warning,низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,frame002400_portrait.json
frame002650.jpg,warning,лицо заметно повернуто; неподходящая яркость; лицо занимает слишком малую часть кадра; низкое исходное разрешение фотографии,,среднее,выраженная асимметрия,frame002650_portrait.json
